qaccver	saccver	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
MGA_14531|TBZ_0145310	YP_557510|Burkholderia_xenovorans_LB400|Non	34.973	183	104	5	29	201	24	201	9.95e-21	89.7
MGA_14722|TBZ_0147220	ABZ06218|uncultured_marine_microorganism_HF4000_007D16|Non	29.944	177	109	4	3	169	30	201	4.45e-21	90.5
MGA_14823|TBZ_0148230	WP_017934958|Nocardioides_sp_Iso805N|Non	33.482	224	139	6	4	217	9	232	7.00e-30	117
MGA_14836|TBZ_0148360	WP_010543042|Sphingomonas_elodea|Non	79.715	281	54	2	1	279	1	280	4.71e-168	463
MGA_14838|TBZ_0148380	YP_293484|Ralstonia_eutropha_JMP134|Non	31.111	180	112	6	3	174	11	186	1.16e-21	92.4
MGA_14870|TBZ_0148700	WP_020653899|Massilia_niastensis|Non	28.400	250	164	4	32	271	20	264	3.14e-31	121
MGA_14989|TBZ_0149890	WP_009070864|Metallosphaera_yellowstonensis|Non	31.696	224	139	6	18	233	8	225	2.15e-28	114
MGA_16071|TBZ_0160710	WP_009518931|Hydrogenophaga_sp_PBC|Non	96.341	410	15	0	30	439	5	414	0.0	838
MGA_18687|TBZ_0186870	WP_009519325|Hydrogenophaga_sp_PBC|Non	98.701	308	4	0	1	308	1	308	0.0	638
MGA_18900|TBZ_0189000	WP_009519476|Hydrogenophaga_sp_PBC|Non	95.792	404	17	0	1	404	1	404	0.0	803
MGA_19088|TBZ_0190880	WP_009515933|Hydrogenophaga_sp_PBC|Non	94.034	352	21	0	1	352	1	352	0.0	682
MGA_19333|TBZ_0193330	YP_005043848|Burkholderia_sp_YI23|Non	77.913	412	91	0	1	412	1	412	0.0	704
MGA_19454|TBZ_0194540	WP_009515933|Hydrogenophaga_sp_PBC|Non	87.500	352	44	0	1	352	1	352	0.0	640
MGA_19699|TBZ_0196990	WP_018494336|Rhizobium_leguminosarum|Non	30.961	281	172	7	7	272	9	282	3.25e-30	112
MGA_19705|TBZ_0197050	YP_004980380|Burkholderia_sp_YI23|Non	63.880	299	108	0	9	307	14	312	8.55e-128	364
MGA_19762|TBZ_0197620	YP_743189|Alkalilimnicola_ehrlichii_MLHE-1|Non	28.188	298	165	11	2	284	21	284	4.75e-24	99.0
MGA_19764|TBZ_0197640	WP_017181781|Sphingobium_xenophagum|Non	89.245	437	47	0	1	437	1	437	0.0	833
MGA_20023|TBZ_0200230	WP_010412099|Citromicrobium_sp_JLT1363|Non	87.770	278	34	0	1	278	1	278	0.0	516
MGA_20141|TBZ_0201410	WP_007857746|Acidovorax_sp_CF316|Non	77.273	330	75	0	1	330	1	330	0.0	548
MGA_21242|TBZ_0212420	WP_005444914|Saccharomonospora_azurea|Non	36.408	206	123	5	26	223	16	221	3.04e-36	134
MGA_22178|TBZ_0221780	WP_005444914|Saccharomonospora_azurea|Non	35.437	206	119	5	59	252	16	219	2.73e-32	125
MGA_22303|TBZ_0223030	YP_119056|Nocardia_farcinica_IFM_10152|Non	24.138	377	227	8	18	374	16	353	5.22e-26	106
MGA_22304|TBZ_0223040	YP_004590679|Enterobacter_aerogenes_KCTC_2190|Non	30.537	298	169	7	33	293	24	320	1.24e-33	127
MGA_22337|TBZ_0223370	YP_001668446|Pseudomonas_putida_GB-1|Non	33.175	211	132	3	22	224	26	235	4.64e-36	134
MGA_23586|TBZ_0235860	YP_002824213|Rhizobium_sp_NGR234|Non	89.877	326	33	0	1	326	1	326	0.0	623
MGA_24622|TBZ_0246220	WP_018171784|Microbacterium_sp_292MF|Non	92.526	388	27	1	1	386	1	388	0.0	743
MGA_25038|TBZ_0250380	WP_002712837|Afipia_clevelandensis_ATCC_49720|Non	99.336	452	3	0	1	452	1	452	0.0	939
MGA_25976|TBZ_0259760	WP_017522678|Pusillimonas_noertemannii|Non	61.620	284	109	0	5	288	4	287	1.77e-131	372
MGA_26295|TBZ_0262950	YP_718166|Sphingomonas_sp_KA1|Non	30.769	195	118	4	4	191	22	206	1.21e-21	92.0
MGA_26585|TBZ_0265850	CBX88679|Hydrogenophaga_sp_PBC|Abs	79.739	459	91	1	1	459	1	457	0.0	775
MGA_26730|TBZ_0267300	WP_009516078|Hydrogenophaga_sp_PBC|Non	83.023	430	71	1	1	430	1	428	0.0	765
MGA_27064|TBZ_0270640	CBX88679|Hydrogenophaga_sp_PBC|Abs	79.482	463	89	2	1	463	1	457	0.0	778
MGA_27229|TBZ_0272290	WP_009518971|Hydrogenophaga_sp_PBC|Non	86.331	278	38	0	1	278	1	278	0.0	509
MGA_27345|TBZ_0273450	WP_009548783|Burkholderiales_bacterium_JOSHI_001|Non	84.590	305	47	0	1	305	1	305	0.0	553
MGA_27544|TBZ_0275440	YP_293484|Ralstonia_eutropha_JMP134|Non	38.272	162	91	4	26	182	27	184	5.57e-26	105
MGA_28082|TBZ_0280820	YP_003277535|Comamonas_testosteroni_CNB-2|Tph	80.392	408	79	1	1	407	1	408	0.0	712
MGA_28344|TBZ_0283440	WP_007296704|Rhodococcus_imtechensis|Non	30.263	228	125	7	8	210	22	240	8.43e-24	98.2
MGA_28413|TBZ_0284130	ZP_01015498|Maritimibacter_alkaliphilus_HTCC2654|Non	31.683	202	121	4	1	188	13	211	2.33e-22	94.0
MGA_28421|TBZ_0284210	WP_019577944|Curvibacter_lanceolatus|Non	31.973	147	95	2	37	183	47	188	2.19e-21	91.7
MGA_28479|TBZ_0284790	WP_019577944|Curvibacter_lanceolatus|Non	31.250	176	110	5	26	196	21	190	1.82e-23	97.4
MGA_28632|TBZ_0286320	YP_496954|Novosphingobium_aromaticivorans_DSM_12444|Non	80.493	446	87	0	3	448	2	447	0.0	768
MGA_28824|TBZ_0288240	WP_009516078|Hydrogenophaga_sp_PBC|Non	81.395	430	78	1	1	430	1	428	0.0	751
MGA_28900|TBZ_0289000	YP_675812|Mesorhizobium_sp_BNC1|Non	56.169	308	129	3	560	862	16	322	3.81e-106	327
MGA_28929|TBZ_0289290	YP_001893469|Burkholderia_phytofirmans_PsJN|Non	50.250	400	194	5	1	397	1	398	2.48e-150	431
MGA_29193|TBZ_0291930	ZP_03266690|Burkholderia_sp_H160|Non	34.562	217	129	7	11	214	13	229	6.30e-33	125
MGA_29648|TBZ_0296480	YP_003774765|Herbaspirillum_seropedicae_SmR1|Non	32.701	211	137	3	10	215	10	220	1.12e-33	127
MGA_29717|TBZ_0297170	YP_557507|Burkholderia_xenovorans_LB400|Non	33.714	175	105	5	3	170	21	191	1.19e-24	100
MGA_29771|TBZ_0297710	WP_017501640|alpha_proteobacterium_LLX12A|Non	83.667	300	49	0	1	300	1	300	0.0	538
MGA_29783|TBZ_0297830	YP_005428204|Marinobacter_hydrocarbonoclasticus_ATCC_49840|Non	30.088	226	143	5	18	230	25	248	4.68e-33	126
MGA_30428|TBZ_0304280	WP_019575737|Curvibacter_lanceolatus|Non	77.812	320	71	0	1	320	1	320	0.0	514
MGA_30430|TBZ_0304300	YP_001415952|Xanthobacter_autotrophicus_Py2|Non	26.050	357	217	11	7	331	24	365	4.60e-22	93.6
MGA_30491|TBZ_0304910	YP_552991|Burkholderia_xenovorans_LB400|Non	48.111	397	202	2	16	408	26	422	3.06e-144	414
MGA_30555|TBZ_0305550	WP_019577944|Curvibacter_lanceolatus|Non	33.333	153	86	4	26	171	47	190	9.09e-23	95.5
MGA_32507|TBZ_0325070	YP_004931474|Pseudoxanthomonas_spadix_BD-a59|Non	33.953	215	130	7	20	227	10	219	7.22e-32	122
MGA_32643|TBZ_0326430	YP_001415952|Xanthobacter_autotrophicus_Py2|Non	27.222	360	209	12	7	331	24	365	1.24e-23	98.2
MGA_32645|TBZ_0326450	WP_019575737|Curvibacter_lanceolatus|Non	78.125	320	70	0	1	320	1	320	0.0	518
MGA_33052|TBZ_0330520	WP_009518971|Hydrogenophaga_sp_PBC|Non	92.982	285	20	0	1	285	1	285	0.0	550
MGA_33067|TBZ_0330670	WP_009516078|Hydrogenophaga_sp_PBC|Non	95.327	428	20	0	1	428	1	428	0.0	859
MGA_33143|TBZ_0331430	WP_006395783|Achromobacter_xylosoxidans|Non	80.131	458	88	3	8	464	15	470	0.0	772
MGA_33219|TBZ_0332190	YP_557510|Burkholderia_xenovorans_LB400|Non	31.905	210	111	8	2	194	19	213	4.88e-23	96.3
MGA_35499|TBZ_0354990	ZP_01747439|Sagittula_stellata_E-37|Non	36.893	206	116	3	29	223	22	224	6.62e-39	141
MGA_35503|TBZ_0355030	YP_003774765|Herbaspirillum_seropedicae_SmR1|Non	33.990	203	123	3	20	215	25	223	1.81e-35	132
MGA_35688|TBZ_0356880	AAX18934|Comamonas_testosteroni|Ipt	90.330	424	41	0	1	424	1	424	0.0	817
MGA_35695|TBZ_0356950	ZP_01011464|Maritimibacter_alkaliphilus_HTCC2654|Non	32.768	177	111	4	14	184	19	193	1.97e-22	94.4
MGA_35709|TBZ_0357090	YP_004618786|Ramlibacter_tataouinensis_TTB310|Non	68.063	382	121	1	4	385	29	409	0.0	567
MGA_35761|TBZ_0357610	WP_007296704|Rhodococcus_imtechensis|Non	30.396	227	126	7	8	210	22	240	3.19e-25	102
MGA_36625|TBZ_0366250	YP_713611|Frankia_alni_ACN14a|Non	33.990	203	124	4	49	241	24	226	7.03e-33	126
MGA_36632|TBZ_0366320	ACD91670|Novosphingobium_sp_H25|Non	27.273	352	210	10	20	357	12	331	9.31e-28	111
MGA_36637|TBZ_0366370	ZP_05520031|Streptomyces_hygroscopicus_ATCC_53653|Non	29.740	269	156	6	1	247	1	258	3.30e-31	121
MGA_36638|TBZ_0366380	WP_004651113|Acinetobacter_sp_ANC_3994|Non	31.343	201	126	5	51	242	28	225	1.20e-29	117
MGA_36642|TBZ_0366420	YP_006838592|Cycloclasticus_sp_P1|Non	27.987	318	199	9	61	367	22	320	2.45e-32	125
MGA_36647|TBZ_0366470	BAG30835|Neptuniibacter_sp_CAR-SF|Ant	34.146	205	124	4	26	221	25	227	1.68e-33	127
MGA_37275|TBZ_0372750	YP_002947217|Variovorax_paradoxus_S110|Non	84.375	416	63	1	7	420	6	421	0.0	735
MGA_37280|TBZ_0372800	YP_006854848|Acidovorax_sp_KKS102|Non	79.076	368	76	1	6	372	7	374	0.0	600
MGA_37569|TBZ_0375690	AFX82641|uncultured_proteobacterium_90H6|Non	69.118	408	120	3	9	411	15	421	0.0	604
MGA_37910|TBZ_0379100	WP_018706724|Bacillus_fordii|Non	32.759	174	105	6	6	171	20	189	1.30e-23	97.4
MGA_41596|TBZ_0415960	WP_010464342|Acidovorax_radicis|Non	87.113	194	21	1	2	191	95	288	1.27e-121	342
MGA_43275|TBZ_0432750	WP_017727651|Bacillus_sp_L1|Non	46.336	423	221	4	1	422	1	418	1.15e-131	383
MGA_43282|TBZ_0432820	ZP_06836636|Corynebacterium_ammoniagenes_DSM_20306|Non	32.346	405	229	10	20	384	23	422	2.45e-56	188
MGA_43295|TBZ_0432950	ZP_03542810|Comamonas_testosteroni_KF-1|Non	43.309	411	231	2	1	410	2	411	1.64e-121	357
MGA_45792|TBZ_0457920	YP_007562852|Ilumatobacter_coccineum_YM16-304|Non	38.095	210	119	5	24	226	21	226	1.69e-37	137
MGA_46315|TBZ_0463150	YP_001789834|Leptothrix_cholodnii_SP-6|Non	80.096	417	82	1	2	418	4	419	0.0	718
MGA_46317|TBZ_0463170	YP_001789836|Leptothrix_cholodnii_SP-6|Non	65.130	347	121	0	1	347	1	347	3.20e-173	482
MGA_47432|TBZ_0474320	Q9S157|Comamonas_testosteroni_TA441|Dpp	66.559	311	104	0	3	313	9	319	8.19e-152	426
MGA_47433|TBZ_0474330	WP_003463151|Pseudomonas_pseudoalcaligenes|Non	36.279	430	247	9	9	419	11	432	1.42e-84	262
MGA_48144|TBZ_0481440	YP_001268212|Pseudomonas_putida_F1|Cum	26.829	246	142	9	1	232	1	222	5.62e-22	94.7
MGA_48146|TBZ_0481460	WP_009070864|Metallosphaera_yellowstonensis|Non	34.500	200	114	6	37	230	37	225	3.35e-24	102
MGA_48290|TBZ_0482900	YP_007562852|Ilumatobacter_coccineum_YM16-304|Non	38.942	208	120	4	24	226	21	226	1.19e-36	135
MGA_49243|TBZ_0492430	WP_017525596|Pusillimonas_noertemannii|Non	29.885	261	158	8	20	265	39	289	1.33e-25	103
MGA_49311|TBZ_0493110	YP_004619719|Ramlibacter_tataouinensis_TTB310|Non	81.718	454	67	4	1	442	1	450	0.0	768
MGA_49954|TBZ_0499540	ZP_05223998|Mycobacterium_intracellulare_ATCC_13950|Non	34.934	229	134	6	21	241	1	222	1.63e-29	117
MGA_49964|TBZ_0499640	WP_009070864|Metallosphaera_yellowstonensis|Non	35.683	227	133	8	27	242	1	225	4.87e-35	132
MGA_50402|TBZ_0504020	WP_007578261|Patulibacter_sp_I11|Non	76.256	438	103	1	1	437	1	438	0.0	722
MGA_50414|TBZ_0504140	AF331043|Arthrobacter_keyseri_12B|Pca	89.720	321	33	0	112	432	1	321	0.0	609
MGA_50739|TBZ_0507390	YP_001263550|Sphingomonas_wittichii_RW1|Non	62.830	417	154	1	1	416	2	418	0.0	559
MGA_50740|TBZ_0507400	YP_004833904|Sphingobium_sp_SYK-6|Non	40.774	336	196	3	1	334	1	335	8.67e-91	272
MGA_51070|TBZ_0510700	WP_007850856|Acidovorax_sp_CF316|Non	66.333	300	99	2	1	299	1	299	4.72e-136	384
MGA_51356|TBZ_0513560	WP_009519325|Hydrogenophaga_sp_PBC|Non	94.481	308	17	0	1	308	1	308	0.0	621
MGA_51363|TBZ_0513630	NP_887278|Bordetella_bronchiseptica_RB50|Non	83.921	454	73	0	2	455	1	454	0.0	827
MGA_51855|TBZ_0518550	WP_017728403|Bacillus_sp_L1|Non	33.721	172	108	4	8	176	22	190	1.02e-25	103
MGA_51883|TBZ_0518830	AAX18934|Comamonas_testosteroni|Ipt	93.396	424	28	0	1	424	1	424	0.0	844
MGA_51891|TBZ_0518910	WP_017525606|Pusillimonas_noertemannii|Non	73.952	334	87	0	17	350	11	344	0.0	537
MGA_52319|TBZ_0523190	YP_004618786|Ramlibacter_tataouinensis_TTB310|Non	66.749	403	133	1	15	417	8	409	0.0	578
MGA_52327|TBZ_0523270	YP_968532|Acidovorax_avenae_subsp_citrulli_AAC00-1|Non	53.097	339	151	4	20	354	35	369	2.41e-122	354
MGA_53286|TBZ_0532860	YP_004538820|Novosphingobium_sp_PP1Y|Non	80.479	292	57	0	1	292	18	309	1.41e-179	494
MGA_54133|TBZ_0541330	WP_007187191|Hydrocarboniphaga_effusa|Non	100.000	296	0	0	1	296	1	296	0.0	607
MGA_55066|TBZ_0550660	YP_001261249|Sphingomonas_wittichii_RW1|Non	36.842	209	121	4	19	220	9	213	3.34e-39	142
MGA_55888|TBZ_0558880	WP_019391016|Bacillus_endophyticus|Non	28.763	372	214	14	6	342	12	367	1.25e-35	132
MGA_56193|TBZ_0561930	ZP_01011482|Maritimibacter_alkaliphilus_HTCC2654|Non	48.815	422	209	4	1	416	1	421	1.18e-144	416
MGA_57040|TBZ_0570400	YP_004487058|Delftia_sp_Cs1-4|Non	90.244	123	12	0	1	123	1	123	1.36e-80	235
MGA_57163|TBZ_0571630	WP_010464342|Acidovorax_radicis|Non	88.542	288	33	0	1	288	1	288	0.0	530
MGA_58092|TBZ_0580920	ADI21944|uncultured_nuHF2_cluster_bacterium_HF0130_29D04|Non	37.430	179	101	4	3	175	21	194	7.50e-28	108
MGA_59142|TBZ_0591420	YP_001713595|Acinetobacter_baumannii_AYE|Non	34.694	196	122	4	24	215	28	221	2.54e-31	120
MGA_59909|TBZ_0599090	WP_009515933|Hydrogenophaga_sp_PBC|Non	87.216	352	45	0	1	352	1	352	0.0	637
MGA_63040|TBZ_0630400	WP_020543194|Nonomuraea_coxensis|Non	34.667	225	128	5	19	232	6	222	3.34e-39	141
MGA_63448|TBZ_0634470	WP_018706724|Bacillus_fordii|Non	32.787	183	107	6	3	173	22	200	8.11e-22	92.8
MGA_63774|TBZ_0637730	YP_004403844|Verrucosispora_maris_AB-18-032|Non	30.568	229	138	7	23	241	9	226	1.22e-27	110
MGA_63850|TBZ_0638490	BAC65453|Sphingomonas_sp_P2|Sa1	77.749	391	87	0	1	391	1	391	0.0	658
MGA_63863|TBZ_0638620	ACC64604|Sphingomonas_sp_B2-7|Cat	77.199	307	70	0	1	307	1	307	0.0	498
MGA_63868|TBZ_0638670	BAC65430|Sphingomonas_sp_P2|Bzt	71.957	460	129	0	11	470	11	470	0.0	720
MGA_63869|TBZ_0638680	P11122|Sphingomonas_paucimobilis_Q1|Dhb	79.933	299	60	0	1	299	1	299	0.0	509
MGA_63872|TBZ_0638710	NP_049213|Novosphingobium_aromaticivorans|Non	72.682	399	109	0	21	419	18	416	0.0	632
MGA_64306|TBZ_0643050	ACF23525|uncultured_bacterium|Cat	93.226	310	21	0	1	310	1	310	0.0	612
MGA_64309|TBZ_0643080	AAB39767|Burkholderia_cepacia|245T	73.774	469	115	4	1	467	5	467	0.0	716
MGA_64579|TBZ_0645780	ZP_01735199|Flavobacteria_bacterium_BAL38|Non	89.503	362	38	0	5	366	6	367	0.0	694
MGA_64875|TBZ_0648740	YP_299968|Ralstonia_eutropha_JMP134|Non	30.272	294	175	10	26	304	21	299	9.34e-22	92.4
MGA_65549|TBZ_0655480	NP_887278|Bordetella_bronchiseptica_RB50|Non	84.989	453	68	0	2	454	1	453	0.0	832
MGA_65910|TBZ_0659090	YP_004590679|Enterobacter_aerogenes_KCTC_2190|Non	32.735	223	143	4	8	227	5	223	3.71e-34	129
MGA_65959|TBZ_0659580	YP_004619719|Ramlibacter_tataouinensis_TTB310|Non	81.278	454	73	3	1	446	1	450	0.0	773
MGA_66439|TBZ_0664380	YP_007562852|Ilumatobacter_coccineum_YM16-304|Non	30.423	355	208	11	39	359	20	369	8.77e-40	144
MGA_67272|TBZ_0672710	WP_010125411|Sphingomonas_sp_KC8|Non	56.478	301	124	3	1	295	1	300	1.94e-120	344
MGA_67286|TBZ_0672850	ZP_01755284|Roseobacter_sp_SK209-2-6|Non	41.558	154	80	5	26	177	39	184	2.74e-23	96.7
MGA_67334|TBZ_0673330	WP_008139504|Bradyrhizobium_sp_YR681|Non	29.719	249	161	5	7	247	8	250	3.36e-27	104
MGA_67796|TBZ_0677950	WP_008973084|Bradyrhizobium_sp_STM_3843|Non	57.309	431	179	3	1	427	1	430	4.03e-179	504
MGA_68184|TBZ_0681830	YP_001263547|Sphingomonas_wittichii_RW1|Non	66.667	333	110	1	15	346	13	345	1.04e-162	456
MGA_68614|TBZ_0686130	YP_717979|Sphingomonas_sp_KA1|Abd	100.000	267	0	0	1	267	1	267	0.0	538
MGA_68616|TBZ_0686150	YP_717981|Sphingomonas_sp_KA1|Car	100.000	378	0	0	1	378	1	378	0.0	775
MGA_68643|TBZ_0686420	WP_005050729|Microbacterium_laevaniformans|Non	100.000	464	0	0	1	464	1	464	0.0	971
MGA_68921|TBZ_0689200	WP_009515010|Hydrogenophaga_sp_PBC|Non	90.931	408	37	0	5	412	1	408	0.0	772
MGA_69154|TBZ_0691530	WP_005444914|Saccharomonospora_azurea|Non	36.715	207	120	5	55	252	11	215	1.54e-32	125
MGA_69936|TBZ_0699350	WP_020106627|Nocardia_sp_348MFTsu5_1|Non	83.069	378	64	0	1	378	1	378	0.0	645
MGA_70582|TBZ_0705810	YP_001165813|Novosphingobium_aromaticivorans_DSM_12444|Non	88.366	361	42	0	7	367	2	362	0.0	673
MGA_70712|TBZ_0707110	Q52185|Pseudomonas_pseudoalcaligenes_POB310_plasmid|Pob	94.621	409	21	1	1	409	1	408	0.0	807
MGA_71584|TBZ_0715830	WP_009516788|Hydrogenophaga_sp_PBC|Non	99.499	399	2	0	1	399	9	407	0.0	828
MGA_73123|TBZ_0731220	AAX18934|Comamonas_testosteroni|Ipt	92.217	424	33	0	1	424	1	424	0.0	832
MGA_74411|TBZ_0744100	BAC65426|Sphingomonas_sp_P2|Sa1	51.478	406	195	2	21	426	13	416	1.23e-150	431
MGA_74666|TBZ_0746650	P11122|Sphingomonas_paucimobilis_Q1|Dhb	66.443	149	44	3	1	145	152	298	3.04e-68	205
MGA_74668|TBZ_0746670	AAD11452|Sphingomonas_sp_A8AN3|Cat	80.519	308	60	0	1	308	1	308	0.0	530
MGA_74694|TBZ_0746930	WP_019546596|Streptomyces_sulphureus|Non	34.874	238	132	9	25	254	27	249	1.62e-34	130
MGA_74995|TBZ_0749940	CBX88679|Hydrogenophaga_sp_PBC|Abs	59.310	435	164	3	1	432	22	446	0.0	546
MGA_76967|TBZ_0769660	ZP_03542656|Comamonas_testosteroni_KF-1|Non	61.088	239	92	1	4	241	199	437	1.37e-99	294
MGA_77214|TBZ_0772130	YP_921900|Nocardioides_sp_JS614|Non	83.495	309	51	0	1	309	1	309	0.0	536
MGA_79320|TBZ_0793190	YP_002907828|Burkholderia_glumae_BGR1|Non	34.091	220	132	5	13	225	6	219	1.78e-34	129
MGA_79882|TBZ_0798810	BAH80175|Lysobacter_sp_OC7|Dhb	61.458	288	111	0	1	288	1	288	1.49e-135	382
MGA_79914|TBZ_0799130	YP_004618786|Ramlibacter_tataouinensis_TTB310|Non	81.618	408	74	1	1	408	1	407	0.0	711
MGA_80143|TBZ_0801420	YP_923963|Nocardioides_sp_JS614|Non	90.604	298	28	0	1	298	1	298	0.0	565
MGA_80665|TBZ_0806640	WP_007296704|Rhodococcus_imtechensis|Non	29.956	227	127	7	8	210	22	240	3.14e-24	99.4
MGA_81077|TBZ_0810760	WP_009515933|Hydrogenophaga_sp_PBC|Non	99.615	260	1	0	1	260	93	352	0.0	536
MGA_81676|TBZ_0816750	WP_009516770|Hydrogenophaga_sp_PBC|Non	99.703	337	1	0	1	337	60	396	0.0	697
MGA_82331|TBZ_0823300	YP_495819|Novosphingobium_aromaticivorans_DSM_12444|Non	91.216	444	39	0	1	444	1	444	0.0	863
MGA_82543|TBZ_0825420	WP_005050729|Microbacterium_laevaniformans|Non	83.404	470	64	3	2	471	6	461	0.0	818
MGA_82805|TBZ_0828040	YP_001156321|Polynucleobacter_necessarius_subsp_asymbioticus_QLW-P1DMWA-1|Non	73.981	515	131	1	3	514	2	516	0.0	832
MGA_83118|TBZ_0831170	YP_001208476|Bradyrhizobium_sp_ORS278|Non	70.575	435	128	0	1	435	1	435	0.0	660
MGA_83150|TBZ_0831490	YP_984545|Acidovorax_sp_JS42|Cat	96.178	314	12	0	1	314	1	314	0.0	637
MGA_83346|TBZ_0833450	WP_017727651|Bacillus_sp_L1|Non	46.588	425	221	4	1	424	1	420	1.31e-132	385
MGA_83415|TBZ_0834140	EHR76951|uncultured_marine_group_II_euryarchaeote|Non	43.284	134	71	4	4	133	338	470	1.43e-27	103
MGA_83464|TBZ_0834630	WP_009518971|Hydrogenophaga_sp_PBC|Non	99.656	291	1	0	1	291	1	291	0.0	594
MGA_83604|TBZ_0836030	WP_004993270|Streptomyces_ghanaensis|Non	71.662	367	103	1	50	415	2	368	0.0	566
MGA_83668|TBZ_0836670	WP_009516078|Hydrogenophaga_sp_PBC|Non	99.065	107	1	0	1	107	323	429	2.18e-74	223
