CONTIG_ID	LENGTH	SHORT_READ_COV	LONG_READ_COV	CLUSTER	SPECIES	NB_STRAIN	REFERENCE_GENOME
opera_contig_31	279487	229.85	9.44	NA	Chromohalobacter_japonicus	NA	GCF_000821045.2_genomic.fna.gz
opera_contig_32	273290	95.00	3.54	NA	Agrobacterium_sp900473205	NA	GCA_900473205.1_genomic.fna.gz
opera_contig_33	269086	283.12	29.05	NA	Acidovorax_A_konjaci	NA	GCF_900112675.1_genomic.fna.gz
opera_contig_34	263000	95.20	4.22	NA	2-12-FULL-53-21_sp001775255	NA	GCA_001775255.1_genomic.fna.gz
opera_contig_35	256068	88.28	3.79	NA	1-14-0-20-64-10_sp002787095	NA	GCA_002787095.1_genomic.fna.gz
opera_contig_36	247401	105.49	2.84	NA	Sharpea_azabuensis	NA	GCF_000702165.1_genomic.fna.gz
opera_contig_37	241369	48.51	2.80	NA	Acidothermus_cellulolyticus	NA	GCF_000015025.1_genomic.fna.gz
opera_contig_38	248660	579.99	14.77	NA	Aeropyrum_camini	NA	GCA_000591035.1_genomic.fna.gz
opera_contig_39	234071	48.95	2.95	NA	Altererythrobacter_B_troitsensis	NA	GCF_001441535.1_genomic.fna.gz
opera_contig_40	232998	150.25	5.20	NA	Centipeda_flueggei	NA	GCF_000160695.1_genomic.fna.gz
opera_contig_41	230971	47.25	5.11	NA	Arenimonas_oryziterrae	NA	GCF_000420545.1_genomic.fna.gz
opera_contig_42	230879	239.46	8.89	NA	66-26_sp001897745	1	GCA_001897745.1_genomic.fna.gz
opera_contig_43	226531	1265.34	27.18	NA	Actinoplanes_ferrugineum	NA	GCF_003002065.1_genomic.fna.gz
opera_contig_44	222391	65.75	0.93	NA	Enterococcus_quebecensis	NA	GCF_001730365.1_genomic.fna.gz
opera_contig_45	223095	2748.52	89.49	NA	Arenimonas_oryziterrae	NA	GCF_000420545.1_genomic.fna.gz
opera_contig_46	219318	29.39	3.08	NA	2-02-FULL-63-19_sp001770415	NA	GCA_001770415.1_genomic.fna.gz
opera_contig_47	219266	48.13	3.65	NA	Brevundimonas_sp002479325	NA	GCA_002479325.1_genomic.fna.gz
opera_contig_48	217704	86.63	3.81	NA	20CM-2-65-7_sp003221825	4	GCA_003221825.1_genomic.fna.gz
opera_contig_49	217220	98.44	3.81	NA	Allorhizobium_selenitireducens	NA	GCF_000518785.1_genomic.fna.gz
opera_contig_50	214395	70.65	1.11	NA	BACL21_sp002440705	NA	GCA_002440705.1_genomic.fna.gz
opera_contig_51	214351	241.53	9.02	NA	66-26_sp001897745	1	GCA_001897745.1_genomic.fna.gz
opera_contig_52	217744	302.57	27.37	NA	Aeromonas_aquatica	NA	GCF_000764655.1_genomic.fna.gz
opera_contig_53	207945	46.75	1.19	NA	Allorhizobium_sp002600635	NA	GCF_002600635.1_genomic.fna.gz
opera_contig_54	198436	95.23	3.82	NA	Actinoplanes_rectilineatus	NA	GCF_000962825.1_genomic.fna.gz
opera_contig_55	198052	102.55	3.23	NA	Bact-11_sp002309795	NA	GCA_002309795.1_genomic.fna.gz
opera_contig_56	190703	29.97	3.66	NA	Allorhizobium_sp002307905	NA	GCA_002307905.1_genomic.fna.gz
opera_contig_57	206692	2808.78	97.00	NA	Actinophytocola_xanthii	NA	GCF_001921205.1_genomic.fna.gz
opera_contig_58	201154	277.43	28.92	NA	3-1-20CM-4-69-9_sp001920085	NA	GCA_001920085.1_genomic.fna.gz
opera_contig_59	186659	2585.86	89.69	NA	2-12-FULL-60-25_sp001791275	NA	GCA_001791275.1_genomic.fna.gz
opera_contig_60	186419	57.94	5.47	NA	66-26_sp001897745	1	GCA_001897745.1_genomic.fna.gz
opera_contig_61	183941	54.27	0.81	NA	Agromyces_subbeticus	NA	GCF_000421565.1_genomic.fna.gz
opera_contig_62	181611	188.67	18.63	NA	66-26_sp001897745	1	GCA_001897745.1_genomic.fna.gz
opera_contig_63	179769	47.52	5.19	NA	Aeromicrobium_A_massiliense	NA	GCF_000312105.1_genomic.fna.gz
opera_contig_64	181527	77.87	1.14	NA	20-14-all-54-14_sp002772205	NA	GCA_002772205.1_genomic.fna.gz
opera_contig_65	176633	70.83	1.02	NA	Bartonella_rochalimae	NA	GCF_000706645.1_genomic.fna.gz
opera_contig_66	176158	107.84	2.65	NA	GCA-002723295_sp002690805	NA	GCA_002690805.1_genomic.fna.gz
opera_contig_67	172230	48.73	4.97	NA	Agrobacterium_sp900473205	NA	GCA_900473205.1_genomic.fna.gz
opera_contig_68	170903	100.83	4.29	NA	2-12-FULL-45-10_sp002773575	NA	GCA_002773575.1_genomic.fna.gz
opera_contig_69	170552	26.63	0.69	NA	Amycolatopsis_decaplanina	NA	GCF_000342005.1_genomic.fna.gz
opera_contig_70	170263	70.45	0.82	NA	Flavobacterium_araucananum	NA	GCF_002222055.1_genomic.fna.gz
opera_contig_71	167495	65.08	0.98	NA	Flavobacterium_sp002862805	NA	GCA_002862805.1_genomic.fna.gz
opera_contig_72	166449	58.04	6.07	NA	66-26_sp001897745	1	GCA_001897745.1_genomic.fna.gz
opera_contig_73	166211	83.19	3.91	NA	Altererythrobacter_B_troitsensis	NA	GCF_001441535.1_genomic.fna.gz
opera_contig_74	165855	59.46	5.71	NA	66-26_sp001897745	1	GCA_001897745.1_genomic.fna.gz
opera_contig_75	164922	51.06	0.78	NA	CAG-110_sp003525905	NA	GCA_003525905.1_genomic.fna.gz
opera_contig_76	187971	58.40	14.66	NA	Aeromonas_aquatica	NA	GCF_000764655.1_genomic.fna.gz
opera_contig_77	162573	53.79	0.88	NA	66-26_sp001897745	1	GCA_001897745.1_genomic.fna.gz
opera_contig_78	174607	192.87	18.11	NA	Acidovorax_B_delafieldii_A	NA	GCF_000175235.1_genomic.fna.gz
opera_contig_79	157955	48.24	6.68	NA	3-1-20CM-2-70-9_sp001920645	NA	GCA_001920645.1_genomic.fna.gz
opera_contig_80	156379	29.60	6.34	NA	Altererythrobacter_B_troitsensis	NA	GCF_001441535.1_genomic.fna.gz
opera_contig_81	156194	54.23	0.65	NA	Agrococcus_jejuensis	NA	GCF_900099705.1_genomic.fna.gz
opera_contig_82	155813	66.88	1.82	NA	Flavobacterium_filum	NA	GCF_000425465.1_genomic.fna.gz
opera_contig_83	154501	94.27	3.82	NA	2-12-FULL-50-11_sp001774395	NA	GCA_001774395.1_genomic.fna.gz
opera_contig_84	152344	83.82	3.38	NA	AR12_sp003220225	NA	GCA_003220225.1_genomic.fna.gz
opera_contig_85	151423	82.58	3.96	NA	40CM-3-62-11_sp001914955	NA	GCA_001914955.1_genomic.fna.gz
opera_contig_86	149746	74.79	1.31	NA	2-12-FULL-35-15_sp001769385	NA	GCA_001769385.1_genomic.fna.gz
opera_contig_87	147675	77.03	4.23	NA	Agrococcus_jejuensis	NA	GCF_900099705.1_genomic.fna.gz
opera_contig_88	145028	47.60	0.72	NA	1-14-0-20-64-10_sp002787095	NA	GCA_002787095.1_genomic.fna.gz
opera_contig_89	145017	2794.20	90.78	NA	Caldilinea_sp003451595	NA	GCA_003451595.1_genomic.fna.gz
opera_contig_90	143652	81.38	3.45	NA	2-12-FULL-45-10_sp002773575	NA	GCA_002773575.1_genomic.fna.gz
opera_contig_91	143460	90.12	4.26	NA	Agromyces_subbeticus	NA	GCF_000421565.1_genomic.fna.gz
opera_contig_92	141911	2582.71	95.33	NA	Achromobacter_spanius	NA	GCF_002812705.1_genomic.fna.gz
opera_contig_93	139933	190.26	16.74	NA	66-26_sp001897745	1	GCA_001897745.1_genomic.fna.gz
opera_contig_94	133559	29.89	2.21	NA	A07HB70_sp000496195	NA	GCA_000496195.1_genomic.fna.gz
opera_contig_95	132315	73.21	1.60	NA	Clostridioides_mangenotii_A	NA	GCF_000498755.1_genomic.fna.gz
opera_contig_96	130232	73.60	0.97	NA	0-14-0-20-30-16_sp002779075	NA	GCA_002779075.1_genomic.fna.gz
opera_contig_97	129422	42.51	2.83	NA	Afipia_carboxidovorans	NA	GCF_000218565.1_genomic.fna.gz
opera_contig_98	127275	72.13	2.22	NA	Agrobacterium_sp900473205	NA	GCA_900473205.1_genomic.fna.gz
opera_contig_99	126558	30.01	3.11	NA	Agrobacterium_sp900473205	NA	GCA_900473205.1_genomic.fna.gz
opera_contig_100	126460	80.29	3.37	NA	56-14-T64_sp002401945	NA	GCA_002401945.1_genomic.fna.gz
opera_contig_101	123301	73.41	1.61	NA	Flaviramulus_basaltis	NA	GCF_900114265.1_genomic.fna.gz
opera_contig_102	123130	52.70	1.21	NA	Actinoplanes_caeruleus	NA	GCF_001884705.1_genomic.fna.gz
opera_contig_103	134611	738.34	19.95	NA	QHCD01_sp003244255	NA	GCA_003244255.1_genomic.fna.gz
opera_contig_104	121396	52.47	0.76	NA	Actinopolyspora_xinjiangensis	NA	GCF_900104475.1_genomic.fna.gz
opera_contig_105	120438	97.65	2.90	NA	Collinsella_sp002305035	NA	GCA_002305035.1_genomic.fna.gz
opera_contig_106	117871	51.98	0.50	NA	Isoptericola_C_variabilis	NA	GCF_003244315.1_genomic.fna.gz
opera_contig_107	116712	97.68	3.51	NA	40CM-3-62-11_sp001914955	NA	GCA_001914955.1_genomic.fna.gz
opera_contig_108	116600	46.00	0.66	NA	Agromyces_subbeticus	NA	GCF_000421565.1_genomic.fna.gz
opera_contig_109	116295	77.47	4.67	NA	2-12-FULL-53-21_sp001775255	NA	GCA_001775255.1_genomic.fna.gz
opera_contig_110	115037	28.74	1.40	NA	Actinopolyspora_xinjiangensis	NA	GCF_900104475.1_genomic.fna.gz
opera_contig_111	111883	63.30	1.06	NA	Flavobacterium_sp002786385	NA	GCA_002786385.1_genomic.fna.gz
opera_contig_112	110939	49.30	4.50	NA	Sphingopyxis_sp002277025	NA	GCF_002277025.1_genomic.fna.gz
opera_contig_113	109392	29.56	4.25	NA	Bog-1198_sp003137095	NA	GCA_003137095.1_genomic.fna.gz
opera_contig_114	108449	29.17	1.39	NA	Allorhizobium_sp002307905	NA	GCA_002307905.1_genomic.fna.gz
opera_contig_115	108687	95.42	3.62	NA	Aureimonas_frigidaquae	NA	GCF_001463905.1_genomic.fna.gz
opera_contig_116	106545	89.21	2.55	NA	20CM-2-65-7_sp003220985	1	GCA_003220985.1_genomic.fna.gz
opera_contig_117	105786	75.71	5.96	NA	Bradyrhizobium_sp000284275	NA	GCF_000284275.1_genomic.fna.gz
opera_contig_118	111590	94.39	4.40	NA	Actinoplanes_philippinensis	NA	GCF_900113015.1_genomic.fna.gz
opera_contig_119	103301	89.02	3.71	NA	20CM-2-65-7_sp003220985	1	GCA_003220985.1_genomic.fna.gz
opera_contig_120	100895	77.37	3.15	NA	Actinoplanes_missouriensis	NA	GCF_000284295.1_genomic.fna.gz
opera_contig_121	100179	101.69	3.85	NA	Allorhizobium_sp002307905	NA	GCA_002307905.1_genomic.fna.gz
opera_contig_122	98511	187.77	27.16	NA	66-26_sp001897745	1	GCA_001897745.1_genomic.fna.gz
opera_contig_123	98008	286.07	26.11	NA	66-26_sp001897745	1	GCA_001897745.1_genomic.fna.gz
opera_contig_124	97974	96.19	4.66	NA	Pararhizobium_sp001426565	NA	GCF_001426565.1_genomic.fna.gz
opera_contig_125	97405	55.81	0.47	NA	Achromobacter_pulmonis	1	GCF_002885955.2_genomic.fna.gz
opera_contig_126	96388	30.31	2.57	NA	Plantibacter_cousiniae	NA	GCF_900167175.1_genomic.fna.gz
opera_contig_127	96272	68.54	1.05	NA	Flavobacterium_A_sp002360925	NA	GCA_002360925.1_genomic.fna.gz
opera_contig_128	96223	86.31	3.69	NA	Allorhizobium_sp002307905	NA	GCA_002307905.1_genomic.fna.gz
opera_contig_129	95919	72.50	1.30	NA	Flavobacterium_filum	NA	GCF_000425465.1_genomic.fna.gz
opera_contig_130	95463	30.04	8.27	NA	Bog-1198_sp003137095	NA	GCA_003137095.1_genomic.fna.gz
opera_contig_131	95278	28.90	2.66	NA	Defluviimonas_C_aquaemixtae	NA	GCF_900302475.1_genomic.fna.gz
opera_contig_132	93328	47.82	0.67	NA	20CM-2-65-7_sp003220985	1	GCA_003220985.1_genomic.fna.gz
opera_contig_133	91795	1957.83	61.87	NA	Janibacter_anophelis	NA	GCF_001570945.1_genomic.fna.gz
opera_contig_134	91127	51.45	3.53	NA	Ochrobactrum_A_pseudogrignonense	NA	GCF_002252525.1_genomic.fna.gz
opera_contig_135	98914	83.54	2.99	NA	Geothrix_sp003538615	NA	GCA_003538615.1_genomic.fna.gz
opera_contig_136	90808	48.88	8.58	NA	Bog-1198_sp003137095	NA	GCA_003137095.1_genomic.fna.gz
opera_contig_137	90803	28.37	3.26	NA	Alsobacter_sp003004785	NA	GCF_003004785.1_genomic.fna.gz
opera_contig_138	90503	92.81	5.05	NA	Martelella_sp001578105	NA	GCF_001578105.1_genomic.fna.gz
opera_contig_139	91733	760.59	29.23	NA	BK-30_sp002837145	NA	GCF_002837145.1_genomic.fna.gz
opera_contig_140	89698	276.95	27.65	NA	Halogeometricum_pallidum	NA	GCF_000337095.1_genomic.fna.gz
opera_contig_141	89334	109.50	3.59	NA	Sediminibacterium_sp000508085	NA	GCF_000508085.1_genomic.fna.gz
opera_contig_142	87922	68.81	0.64	NA	Archaeoglobus_B_profundus	NA	GCF_000025285.1_genomic.fna.gz
opera_contig_143	87479	53.29	0.94	NA	Devosia_enhydra	NA	GCF_900119845.1_genomic.fna.gz
opera_contig_144	86958	70.78	0.88	NA	40-80_sp001899145	NA	GCA_001899145.1_genomic.fna.gz
opera_contig_145	86277	9.75	0.22	NA	Aquamicrobium_loti	NA	GCF_002858745.1_genomic.fna.gz
opera_contig_146	86181	9.92	0.27	NA	RBG-13-68-16_sp003133645	NA	GCA_003133645.1_genomic.fna.gz
opera_contig_147	85738	29.43	2.35	NA	Achromobacter_spanius	NA	GCF_002812705.1_genomic.fna.gz
opera_contig_148	84661	85.33	3.06	NA	Actinoplanes_missouriensis	NA	GCF_000284295.1_genomic.fna.gz
opera_contig_149	77497	54.59	2.89	NA	Allorhizobium_sp002600635	NA	GCF_002600635.1_genomic.fna.gz
opera_contig_150	77010	50.99	0.65	NA	Microbacterium_sp001423615	NA	GCF_001423615.1_genomic.fna.gz
opera_contig_151	76523	9.84	0.26	NA	40CM-68-15_sp003220615	3	GCA_003220615.1_genomic.fna.gz
opera_contig_152	76510	44.24	2.11	NA	Caballeronia_turbans	NA	GCF_001544655.2_genomic.fna.gz
opera_contig_153	75651	96.40	4.49	NA	Chromobacterium_sp002924365	NA	GCF_002924365.1_genomic.fna.gz
opera_contig_154	75416	9.54	0.63	NA	69-11_sp001898425	NA	GCA_001898425.1_genomic.fna.gz
opera_contig_155	75308	9.97	0.61	NA	2-02-FULL-63-19_sp001770415	NA	GCA_001770415.1_genomic.fna.gz
opera_contig_156	75075	291.77	25.71	NA	Frankia_sp001854805	NA	GCF_001854805.1_genomic.fna.gz
opera_contig_157	73202	99.97	3.21	NA	Actinoplanes_ferrugineum	NA	GCF_003002065.1_genomic.fna.gz
opera_contig_158	73076	76.22	0.66	NA	Bartonella_bacilliformis_A	NA	GCF_000709795.1_genomic.fna.gz
opera_contig_159	72449	63.37	0.82	NA	MS024-2A_sp002384715	NA	GCA_002384715.1_genomic.fna.gz
opera_contig_160	72290	63.36	0.59	NA	46-80_sp003485325	NA	GCA_003485325.1_genomic.fna.gz
opera_contig_161	73427	95.40	4.16	NA	Actinoplanes_philippinensis	NA	GCF_900113015.1_genomic.fna.gz
opera_contig_162	70955	80.41	4.71	NA	Allorhizobium_sp002307905	NA	GCA_002307905.1_genomic.fna.gz
opera_contig_163	70888	71.47	0.91	NA	Teredinibacter_sp001922955	NA	GCF_001922955.1_genomic.fna.gz
opera_contig_164	70034	29.64	2.18	NA	Desulfocurvibacter_africanus	NA	GCF_000422545.1_genomic.fna.gz
opera_contig_165	69835	28.75	1.00	NA	Acutalibacter_timonensis	NA	GCF_900048895.1_genomic.fna.gz
opera_contig_166	69774	69.81	0.81	NA	Sulcia_muelleri_B	NA	GCF_003214255.1_genomic.fna.gz
opera_contig_167	69860	33.05	2.10	NA	Agrococcus_jejuensis	NA	GCF_900099705.1_genomic.fna.gz
opera_contig_168	69491	70.07	0.82	NA	Bacillus_AW_solisilvae	NA	GCF_002128405.1_genomic.fna.gz
opera_contig_169	70418	77.52	3.23	NA	Agrobacterium_sp900473205	NA	GCA_900473205.1_genomic.fna.gz
opera_contig_170	69132	66.31	0.98	NA	RBG-13-42-11_sp001821455	NA	GCA_001821455.1_genomic.fna.gz
opera_contig_171	68595	53.52	0.45	NA	Microbacterium_pygmaeum	NA	GCF_900100885.1_genomic.fna.gz
opera_contig_172	67675	76.63	1.28	NA	GWF2-32-72_sp000989525	NA	GCA_000989525.1_genomic.fna.gz
opera_contig_173	67467	49.54	3.05	NA	Aeromonas_aquatica	NA	GCF_000764655.1_genomic.fna.gz
opera_contig_174	66776	9.56	0.60	NA	A07HB70_sp000496195	NA	GCA_000496195.1_genomic.fna.gz
opera_contig_175	66917	83.59	3.79	NA	B1-Br10-E2g2_sp001563805	NA	GCA_001563805.1_genomic.fna.gz
opera_contig_176	76985	195.22	22.06	NA	Acidovorax_B_delafieldii_A	NA	GCF_000175235.1_genomic.fna.gz
opera_contig_177	62946	10.30	0.87	NA	CBA1134_sp003021785	NA	GCA_003021785.1_genomic.fna.gz
opera_contig_178	62474	51.72	2.76	NA	Enterobacter_cloacae_B	NA	GCF_002197345.1_genomic.fna.gz
opera_contig_179	62797	77.21	3.54	NA	Agrococcus_jejuensis	NA	GCF_900099705.1_genomic.fna.gz
opera_contig_180	59967	80.77	4.52	NA	Acidaminococcus_intestini	NA	GCF_000425045.1_genomic.fna.gz
opera_contig_181	59685	8.87	0.68	NA	Aquamicrobium_loti	NA	GCF_002858745.1_genomic.fna.gz
opera_contig_182	58554	9.67	0.30	NA	Akkermansia_muciniphila_A	NA	GCF_900184965.1_genomic.fna.gz
opera_contig_183	58341	47.10	3.16	NA	Allorhizobium_sp002307905	NA	GCA_002307905.1_genomic.fna.gz
opera_contig_184	57939	77.77	1.25	NA	Chryseobacterium_taihuense	NA	GCF_900103755.1_genomic.fna.gz
opera_contig_185	58826	2218.91	91.55	NA	UBA9611_sp002816355	NA	GCA_002816355.1_genomic.fna.gz
opera_contig_186	57279	10.03	0.86	NA	40CM-68-15_sp003220615	3	GCA_003220615.1_genomic.fna.gz
opera_contig_187	56825	189.62	14.94	NA	Aeromicrobium_erythreum	NA	GCF_001509405.1_genomic.fna.gz
opera_contig_188	56795	69.23	0.47	NA	Acetobacter_indonesiensis	NA	GCF_000963945.1_genomic.fna.gz
opera_contig_189	56770	47.78	2.35	NA	20CM-4-69-16_sp001919865	1	GCA_001919865.1_genomic.fna.gz
opera_contig_190	56603	59.52	5.74	NA	66-26_sp001897745	1	GCA_001897745.1_genomic.fna.gz
opera_contig_191	56475	8.68	0.38	NA	QS-3-64-16_sp003021705	NA	GCA_003021705.1_genomic.fna.gz
opera_contig_192	56148	89.09	3.88	NA	Halobaculum_gomorrense	NA	GCF_900129775.1_genomic.fna.gz
opera_contig_193	55177	9.77	0.65	NA	Actinokineospora_terrae	NA	GCF_900111175.1_genomic.fna.gz
opera_contig_194	55134	50.52	0.31	NA	Halanaeroarchaeum_sulfurireducens	NA	GCF_001011115.1_genomic.fna.gz
opera_contig_195	54637	80.48	3.64	NA	Alistipes_sp000434235	NA	GCA_000434235.1_genomic.fna.gz
opera_contig_196	54633	258.04	24.84	NA	Aquabacterium_sp002339015	NA	GCA_002339015.1_genomic.fna.gz
opera_contig_197	54582	48.41	4.96	NA	DSL-40_sp003241785	NA	GCA_003241785.1_genomic.fna.gz
opera_contig_198	54300	8.02	0.85	NA	Amycolatopsis_C_halophila	NA	GCF_000504245.1_genomic.fna.gz
opera_contig_199	53926	47.21	2.11	NA	Sphingopyxis_sp000763945	NA	GCF_000763945.1_genomic.fna.gz
opera_contig_200	53684	50.79	5.59	NA	12-FULL-67-14b_sp001768615	2	GCA_001768615.1_genomic.fna.gz
opera_contig_201	53407	9.26	0.49	NA	Cupriavidus_sp900104095	NA	GCF_900104095.1_genomic.fna.gz
opera_contig_202	52913	49.29	3.65	NA	Blastomonas_sp000503195	NA	GCA_000503195.1_genomic.fna.gz
opera_contig_203	52024	10.11	0.51	NA	3-1-20CM-4-69-9_sp001920085	NA	GCA_001920085.1_genomic.fna.gz
opera_contig_204	51756	10.76	0.18	NA	Modestobacter_caceresii	NA	GCF_000761485.1_genomic.fna.gz
opera_contig_205	51514	10.21	1.05	NA	Caulobacter_sp003185805	NA	GCF_003185805.1_genomic.fna.gz
opera_contig_206	51314	9.81	0.05	NA	Halorubrum_sp001564205	NA	GCA_001564205.1_genomic.fna.gz
opera_contig_207	51130	10.90	0.32	NA	Acidovorax_D_kalamii	NA	GCF_002245625.1_genomic.fna.gz
opera_contig_208	50583	9.42	0.18	NA	2011-GWC2-44-17_sp001029695	NA	GCA_001029695.1_genomic.fna.gz
opera_contig_209	50423	10.64	0.41	NA	Bog-1524_sp003164045	NA	GCA_003164045.1_genomic.fna.gz
opera_contig_210	50377	8.81	1.08	NA	Bradyrhizobium_icense	NA	GCF_001693385.1_genomic.fna.gz
opera_contig_211	50254	10.20	0.76	NA	DTU024_sp002411105	NA	GCA_002411105.1_genomic.fna.gz
opera_contig_212	49929	11.10	1.04	NA	Achromobacter_spanius	NA	GCF_002812705.1_genomic.fna.gz
opera_contig_213	49687	9.54	0.38	NA	PALSA-660_sp003133285	NA	GCA_003133285.1_genomic.fna.gz
opera_contig_214	49267	9.97	0.18	NA	Halorubrum_sp001564205	NA	GCA_001564205.1_genomic.fna.gz
opera_contig_215	48887	55.21	0.25	NA	Corynebacterium_A_variabile	NA	GCF_000720035.1_genomic.fna.gz
opera_contig_216	48517	71.31	1.48	NA	Flavobacterium_sp002352205	NA	GCA_002352205.1_genomic.fna.gz
opera_contig_217	48681	36.52	1.69	NA	Saccharomonospora_xinjiangensis	NA	GCF_000258175.1_genomic.fna.gz
opera_contig_218	48127	10.47	0.60	NA	Frigoribacterium_sp000878135	NA	GCF_000878135.1_genomic.fna.gz
opera_contig_219	47610	10.57	1.26	NA	69-11_sp001898425	NA	GCA_001898425.1_genomic.fna.gz
opera_contig_220	46996	107.42	3.05	NA	Plantactinospora_A_sp002846275	NA	GCF_002846275.1_genomic.fna.gz
opera_contig_221	46980	47.98	5.98	NA	Clavibacter_michiganensis_K	NA	GCF_002150995.1_genomic.fna.gz
opera_contig_222	46786	52.97	0.30	NA	Flavimobilis_marinus	NA	GCF_900113055.1_genomic.fna.gz
opera_contig_223	45906	52.77	0.34	NA	Brevibacterium_sp001815905	NA	GCF_001815905.1_genomic.fna.gz
opera_contig_224	65627	4861.64	169.88	NA	CAG-791_sp002358875	NA	GCA_002358875.1_genomic.fna.gz
opera_contig_225	45703	51.95	1.89	NA	Halostagnicola_larsenii	NA	GCF_000517625.1_genomic.fna.gz
opera_contig_226	45683	12.40	0.52	NA	Sphingopyxis_sp002277025	NA	GCF_002277025.1_genomic.fna.gz
opera_contig_227	45627	62.65	1.06	NA	Aquimarina_muelleri	NA	GCF_000430665.1_genomic.fna.gz
opera_contig_228	45425	95.92	0.35	NA	Caballeronia_glebae	NA	GCF_001545035.1_genomic.fna.gz
opera_contig_229	45037	9.28	0.12	NA	UBA1268_sp002694955	NA	GCA_002694955.1_genomic.fna.gz
opera_contig_230	44487	55.12	0.78	NA	Methylobacterium_populi	NA	GCF_000019945.1_genomic.fna.gz
opera_contig_231	44142	56.16	3.26	NA	Halovenus_sp003021015	NA	GCA_003021015.1_genomic.fna.gz
opera_contig_232	43982	188.43	4.64	NA	Ensifer_A_sp900467685	NA	GCA_900467685.1_genomic.fna.gz
opera_contig_233	43867	9.86	0.12	NA	Halorientalis_sp001989615	NA	GCF_001989615.1_genomic.fna.gz
opera_contig_234	43850	9.93	0.49	NA	Marinobacter_persicus	NA	GCF_900114155.1_genomic.fna.gz
opera_contig_235	43681	9.77	0.32	NA	Embleya_scabrispora	NA	GCF_000372745.1_genomic.fna.gz
